ID,Negeri,Kawasan
,Putrajaya,Presint 1
,Putrajaya,Presint 2
,Putrajaya,Presint 3
,Putrajaya,Presint 4
,Putrajaya,Presint 5
,Putrajaya,Presint 6
,Putrajaya,Presint 7
,Putrajaya,Presint 8
,Putrajaya,Presint 9
,Putrajaya,Presint 10
,Putrajaya,Presint 11
,Putrajaya,Presint 12
,Putrajaya,Presint 13
,Putrajaya,Presint 14
,Putrajaya,Presint 15
,Putrajaya,Presint 16
,Putrajaya,Presint 17
,Putrajaya,Presint 18
,Putrajaya,Presint 19
,Putrajaya,Presint 20
