ID,Negeri,DUN
,Perlis,Titi Tinggi
,Perlis,Bintong
,Perlis,Pauh
,Perlis,Beseri
,Perlis,Sena
,Perlis,Tambun Tulang
,Perlis,Chuping
,Perlis,Indera Kayangan
,Perlis,Guar Sanji
,Perlis,Mata Ayer
,Perlis,Kuala Perlis
,Perlis,Simpang Empat
,Perlis,Santan
,Perlis,Kayang
,Perlis,Sanglang
